set_size,target_present,condition_type,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,formal_loop.thisRepN,formal_loop.thisTrialN,formal_loop.thisN,formal_loop.thisIndex,thisRow.t,notes,piloting,start.started,open_text.started,start_key.started,start.stopped,start_key.keys,start_key.rt,start_key.duration,instr_practice.started,prac_text.started,prac_key.started,instr_practice.stopped,prac_key.keys,prac_key.rt,prac_key.duration,fixation.started,fix_text.started,fixation.stopped,trial.started,key_resp.started,trial.stopped,practice_loop.key_resp.keys,practice_loop.key_resp.corr,practice_loop.key_resp.rt,practice_loop.key_resp.duration,feedback.started,fb_text.started,feedback.stopped,fb_text.stopped,instr_formal.started,formal_text.started,formal_key.started,instr_formal.stopped,formal_key.keys,formal_key.rt,formal_key.duration,formal_loop.key_resp.keys,formal_loop.key_resp.corr,formal_loop.key_resp.rt,formal_loop.key_resp.duration,fix_text.stopped,thanks.started,thanks_text.started,thanks.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
24,1,conjunction,right,22,22,0,right,1,0.7051319000311196,None,,,,,0,22,22,32,63.929947900003754,,,,,,,,,,,,,,,,,63.91856989997905,63.929947900003754,64.41732159996172,64.48315499996534,64.51245579996612,65.23502139997436,,,,,,,,,,,,,,,,right,1,0.7051319000311196,None,64.51245579996612,,,,pilot,001,2026-04-15_11h40.16.202,midterm_project,,2026.1.1,60.06254913948419,2026-04-15 11h40.16.438966 +0800,
4,1,conjunction,right,23,23,0,right,1,1.193785300012678,None,,,,,0,23,23,6,65.24626479996368,,,,,,,,,,,,,,,,,65.2352086000028,65.24626479996368,65.73481150000589,65.74880479997955,65.76174489996629,66.96725919999881,,,,,,,,,,,,,,,,right,1,1.193785300012678,None,65.76174489996629,,,,pilot,001,2026-04-15_11h40.16.202,midterm_project,,2026.1.1,60.06254913948419,2026-04-15 11h40.16.438966 +0800,
24,1,conjunction,right,24,24,0,right,1,1.2097460000077263,None,,,,,0,24,24,8,66.97927889996208,,,,,,,,,,,,,,,,,66.96749079995789,66.97927889996208,67.46536809997633,67.52309949998744,67.54554429999553,68.76841969997622,,,,,,,,,,,,,,,,right,1,1.2097460000077263,None,67.54554429999553,,,,pilot,001,2026-04-15_11h40.16.202,midterm_project,,2026.1.1,60.06254913948419,2026-04-15 11h40.16.438966 +0800,
4,0,conjunction,left,25,25,0,left,1,0.9229226000024937,None,,,,,0,25,25,9,68.77910839999095,,,,,,,,,,,,,,,,,68.76859319995856,68.77910839999095,69.26869359996635,69.28641439997591,69.29492119996576,70.2318179999711,,,,,,,,,,,,,,,,left,1,0.9229226000024937,None,,,,,pilot,001,2026-04-15_11h40.16.202,midterm_project,,2026.1.1,60.06254913948419,2026-04-15 11h40.16.438966 +0800,
4,1,feature,right,26,26,0,right,1,0.9814091999433003,None,,,,,0,26,26,24,70.245644599956,,,,,,,,,,,,,,,,,70.2319911000086,70.245644599956,70.73198260000208,70.73998239997309,70.7611668999889,71.74862269998994,,,,,,,,,,,,,,,,right,1,0.9814091999433003,None,,,,,pilot,001,2026-04-15_11h40.16.202,midterm_project,,2026.1.1,60.06254913948419,2026-04-15 11h40.16.438966 +0800,
24,0,conjunction,left,27,27,0,None,0,,,,,,,0,27,27,23,71.76184920000378,,,,,,,,,,,,,,,,,71.7488228000002,71.76184920000378,72.2483430999564,72.30702339997515,72.32816009997623,74.26504480000585,,,,,,,,,,,,,,,,None,0,,,72.32816009997623,,,,pilot,001,2026-04-15_11h40.16.202,midterm_project,,2026.1.1,60.06254913948419,2026-04-15 11h40.16.438966 +0800,
24,1,feature,right,28,28,0,left,0,1.0940547999925911,None,,,,,0,28,28,14,74.27832310000667,,,,,,,,,,,,,,,,,74.26524709997466,74.27832310000667,74.74909940001089,74.78669239999726,74.81071210000664,75.91675450000912,,,,,,,,,,,,,,,,left,0,1.0940547999925911,None,,,,,pilot,001,2026-04-15_11h40.16.202,midterm_project,,2026.1.1,60.06254913948419,2026-04-15 11h40.16.438966 +0800,
24,0,conjunction,left,29,29,0,left,1,1.669499600015115,None,,,,,0,29,29,35,75.92814410000574,,,,,,,,,,,,,,,,,75.91693609999493,75.92814410000574,76.4147141999565,76.47602919995552,76.51040719996672,78.18379909999203,,,,,,,,,,,,,,,,left,1,1.669499600015115,None,76.51040719996672,,,,pilot,001,2026-04-15_11h40.16.202,midterm_project,,2026.1.1,60.06254913948419,2026-04-15 11h40.16.438966 +0800,
24,1,feature,right,30,30,0,right,1,0.4865422999719158,None,,,,,0,30,30,26,78.1946066999808,,,,,,,,,,,,,,,,,78.18398179998621,78.1946066999808,78.68118949997006,78.71882379997987,78.7439069999964,79.23390269995434,,,,,,,,,,,,,,,,right,1,0.4865422999719158,None,78.7439069999964,,,,pilot,001,2026-04-15_11h40.16.202,midterm_project,,2026.1.1,60.06254913948419,2026-04-15 11h40.16.438966 +0800,
12,0,feature,left,31,31,0,left,1,1.1781550000305288,None,,,,,0,31,31,4,79.24434869998368,,,,,,,,,,,,,,,,,79.23408009996638,79.24434869998368,79.731181799958,79.75033309997525,79.77681169996504,80.96455899998546,,,,,,,,,,,,,,,,left,1,1.1781550000305288,None,79.77681169996504,,,,pilot,001,2026-04-15_11h40.16.202,midterm_project,,2026.1.1,60.06254913948419,2026-04-15 11h40.16.438966 +0800,
12,1,feature,right,32,32,0,right,1,0.7078497000038624,None,,,,,0,32,32,13,80.9772612999659,,,,,,,,,,,,,,,,,80.96474759996636,80.9772612999659,81.46509489999153,81.49154959997395,81.51003329997184,82.2323497000034,,,,,,,,,,,,,,,,right,1,0.7078497000038624,None,,,,,pilot,001,2026-04-15_11h40.16.202,midterm_project,,2026.1.1,60.06254913948419,2026-04-15 11h40.16.438966 +0800,
4,1,feature,right,33,33,0,left,0,0.6704820000450127,None,,,,,0,33,33,12,82.24430289998418,,,,,,,,,,,,,,,,,82.23256099998252,82.24430289998418,82.7314333000104,82.74075029999949,82.76004849997116,83.43555870000273,,,,,,,,,,,,,,,,left,0,0.6704820000450127,None,82.76004849997116,,,,pilot,001,2026-04-15_11h40.16.202,midterm_project,,2026.1.1,60.06254913948419,2026-04-15 11h40.16.438966 +0800,
12,1,feature,right,34,34,0,right,1,0.6663760000374168,None,,,,,0,34,34,1,83.44438479997916,,,,,,,,,,,,,,,,,83.43592509999871,83.44438479997916,83.9310717000044,83.95491699996637,83.97659209999256,84.64968500001123,,,,,,,,,,,,,,,,right,1,0.6663760000374168,None,83.97659209999256,,,,pilot,001,2026-04-15_11h40.16.202,midterm_project,,2026.1.1,60.06254913948419,2026-04-15 11h40.16.438966 +0800,
4,0,conjunction,left,35,35,0,left,1,0.5416153999976814,None,,,,,0,35,35,21,84.66045239998493,,,,,,,,,,,,,,,,,84.64990399999078,84.66045239998493,85.14896119997138,85.16554049996193,85.17640669998946,85.731448800012,,,,,,,,,,,,,,,,left,1,0.5416153999976814,None,85.17640669998946,,,,pilot,001,2026-04-15_11h40.16.202,midterm_project,,2026.1.1,60.06254913948419,2026-04-15 11h40.16.438966 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.73161660000915,85.77646139997523,88.74694449995877,pilot,001,2026-04-15_11h40.16.202,midterm_project,,2026.1.1,60.06254913948419,2026-04-15 11h40.16.438966 +0800,
