set_size,target_present,condition_type,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,formal_loop.thisRepN,formal_loop.thisTrialN,formal_loop.thisN,formal_loop.thisIndex,thisRow.t,notes,piloting,start.started,open_text.started,start_key.started,start.stopped,start_key.keys,start_key.rt,start_key.duration,instr_practice.started,prac_text.started,prac_key.started,instr_practice.stopped,prac_key.keys,prac_key.rt,prac_key.duration,fixation.started,fix_text.started,fixation.stopped,trial.started,key_resp.started,trial.stopped,practice_loop.key_resp.keys,practice_loop.key_resp.corr,practice_loop.key_resp.rt,practice_loop.key_resp.duration,feedback.started,fb_text.started,feedback.stopped,ITI.started,ITI_text.started,ITI.stopped,fb_text.stopped,fix_text.stopped,ITI_text.stopped,instr_formal.started,formal_text.started,formal_key.started,instr_formal.stopped,formal_key.keys,formal_key.rt,formal_key.duration,formal_loop.key_resp.keys,formal_loop.key_resp.corr,formal_loop.key_resp.rt,formal_loop.key_resp.duration,thanks.started,thanks_text.started,thanks.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
12,0,conjunction,left,19,19,0,left,1,1.176264900015667,None,,,,,0,19,19,22,62.75326169998152,,,,,,,,,,,,,,,,,62.739644600020256,62.75326169998152,63.23991920001572,63.276021700003184,63.30167200003052,64.48973359999945,,,,,,,,64.4897947999998,64.50297839997802,64.98909480002476,,63.30167200003052,65.00292009999976,,,,,,,,left,1,1.176264900015667,None,,,,pilot,001,2026-04-15_20h30.58.191,midterm_project,,2026.1.1,60.16503268756271,2026-04-15 20h30.58.807999 +0800,
24,1,conjunction,right,20,20,0,right,1,0.9427338999812491,None,,,,,0,20,20,20,65.00292009999976,,,,,,,,,,,,,,,,,64.98924770002486,65.00292009999976,65.4893052999978,65.55264040001202,65.58580729999812,66.54063619999215,,,,,,,,66.54069639998488,66.55287610000232,67.0415516999783,,65.58580729999812,,,,,,,,,right,1,0.9427338999812491,None,,,,pilot,001,2026-04-15_20h30.58.191,midterm_project,,2026.1.1,60.16503268756271,2026-04-15 20h30.58.807999 +0800,
24,1,feature,right,21,21,0,right,1,0.6889158999547362,None,,,,,0,21,21,26,67.05311989999609,,,,,,,,,,,,,,,,,67.04183830000693,67.05311989999609,67.5395365000004,67.57818549999502,67.60172710003098,68.29167690000031,,,,,,,,68.29175670002587,68.30214420001721,68.7889893000247,,67.60172710003098,68.80235910002375,,,,,,,,right,1,0.6889158999547362,None,,,,pilot,001,2026-04-15_20h30.58.191,midterm_project,,2026.1.1,60.16503268756271,2026-04-15 20h30.58.807999 +0800,
12,1,conjunction,right,22,22,0,right,1,0.9937172000063583,None,,,,,0,22,22,7,68.80235910002375,,,,,,,,,,,,,,,,,68.78914429998258,68.80235910002375,69.29013300000224,69.32138620002661,69.33513890003087,70.34116359998006,,,,,,,,70.34124249999877,70.35222840000642,70.83908340003109,,69.33513890003087,70.8521987000131,,,,,,,,right,1,0.9937172000063583,None,,,,pilot,001,2026-04-15_20h30.58.191,midterm_project,,2026.1.1,60.16503268756271,2026-04-15 20h30.58.807999 +0800,
4,0,conjunction,left,23,23,0,left,1,1.2981876999838278,None,,,,,0,23,23,21,70.8521987000131,,,,,,,,,,,,,,,,,70.83926310000243,70.8521987000131,71.33974429999944,71.35499610000988,71.36788859998342,72.67225900001358,,,,,,,,72.67232780001359,72.68488780001644,73.17247910000151,,71.36788859998342,,,,,,,,,left,1,1.2981876999838278,None,,,,pilot,001,2026-04-15_20h30.58.191,midterm_project,,2026.1.1,60.16503268756271,2026-04-15 20h30.58.807999 +0800,
12,0,feature,left,24,24,0,left,1,0.7360290999640711,None,,,,,0,24,24,4,73.1853086000192,,,,,,,,,,,,,,,,,73.17269670002861,73.1853086000192,73.67341200000374,73.69836500001838,73.71756979997735,74.45798870001454,,,,,,,,74.4581329000066,74.46778150001774,74.9563539000228,,,74.96958239999367,,,,,,,,left,1,0.7360290999640711,None,,,,pilot,001,2026-04-15_20h30.58.191,midterm_project,,2026.1.1,60.16503268756271,2026-04-15 20h30.58.807999 +0800,
4,1,conjunction,right,25,25,0,right,1,0.6026319999946281,None,,,,,0,25,25,6,74.96958239999367,,,,,,,,,,,,,,,,,74.95658659999026,74.96958239999367,75.47161270002834,75.48409009998431,75.50065840000752,76.10637880000286,,,,,,,,76.10646919999272,76.11794500000542,76.60544170002686,,,76.61817640002118,,,,,,,,right,1,0.6026319999946281,None,,,,pilot,001,2026-04-15_20h30.58.191,midterm_project,,2026.1.1,60.16503268756271,2026-04-15 20h30.58.807999 +0800,
12,1,feature,right,26,26,0,right,1,0.46520620002411306,None,,,,,0,26,26,1,76.61817640002118,,,,,,,,,,,,,,,,,76.6056112999795,76.61817640002118,77.10562769998796,77.13036040001316,77.15089079999598,77.62247679999564,,,,,,,,77.62254539999412,77.63463899999624,78.12203219998628,,77.15089079999598,78.13459119998151,,,,,,,,right,1,0.46520620002411306,None,,,,pilot,001,2026-04-15_20h30.58.191,midterm_project,,2026.1.1,60.16503268756271,2026-04-15 20h30.58.807999 +0800,
4,0,feature,left,27,27,0,left,1,0.6459081000066362,None,,,,,0,27,27,3,78.13459119998151,,,,,,,,,,,,,,,,,78.12221529998351,78.13459119998151,78.62075100000948,78.62673339998582,78.63401280000107,79.288546100026,,,,,,,,79.28862770000705,79.30107099999441,79.78868280001916,,78.63401280000107,79.80077849997906,,,,,,,,left,1,0.6459081000066362,None,,,,pilot,001,2026-04-15_20h30.58.191,midterm_project,,2026.1.1,60.16503268756271,2026-04-15 20h30.58.807999 +0800,
4,0,conjunction,left,28,28,0,left,1,0.8870779999997467,None,,,,,0,28,28,9,79.80077849997906,,,,,,,,,,,,,,,,,79.78885880002053,79.80077849997906,80.28869570000097,80.30300720001105,80.31630190002033,81.20570920000318,,,,,,,,81.2058031000197,81.21730170003138,81.70494650001638,,80.31630190002033,81.71733980003046,,,,,,,,left,1,0.8870779999997467,None,,,,pilot,001,2026-04-15_20h30.58.191,midterm_project,,2026.1.1,60.16503268756271,2026-04-15 20h30.58.807999 +0800,
12,0,conjunction,left,29,29,0,left,1,0.7745521999895573,None,,,,,0,29,29,34,81.71733980003046,,,,,,,,,,,,,,,,,81.70515769999474,81.71733980003046,82.20463799999561,82.23960520001128,82.26634460000787,83.05390160001116,,,,,,,,83.0539636000176,83.06768660002854,83.55429960001493,,82.26634460000787,,,,,,,,,left,1,0.7745521999895573,None,,,,pilot,001,2026-04-15_20h30.58.191,midterm_project,,2026.1.1,60.16503268756271,2026-04-15 20h30.58.807999 +0800,
24,1,conjunction,right,30,30,0,right,1,0.9791811999748461,None,,,,,0,30,30,8,83.56696810002904,,,,,,,,,,,,,,,,,83.55451400001766,83.56696810002904,84.05418109998573,84.1202507999842,84.1492084999918,85.1377909000148,,,,,,,,85.13785340002505,85.15035990002798,85.6378493999946,,,85.65012140001636,,,,,,,,right,1,0.9791811999748461,None,,,,pilot,001,2026-04-15_20h30.58.191,midterm_project,,2026.1.1,60.16503268756271,2026-04-15 20h30.58.807999 +0800,
24,0,feature,left,31,31,0,left,1,0.6041739000356756,None,,,,,0,31,31,17,85.65012140001636,,,,,,,,,,,,,,,,,85.63802820001729,85.65012140001636,86.1369220999768,86.17306830000598,86.19913289998658,86.80618840001989,,,,,,,,86.80625700001838,86.81681739998749,87.3033579000039,,86.19913289998658,87.31706359999953,,,,,,,,left,1,0.6041739000356756,None,,,,pilot,001,2026-04-15_20h30.58.191,midterm_project,,2026.1.1,60.16503268756271,2026-04-15 20h30.58.807999 +0800,
4,0,feature,left,32,32,0,left,1,0.5472959000035189,None,,,,,0,32,32,15,87.31706359999953,,,,,,,,,,,,,,,,,87.30353779997677,87.31706359999953,87.80338980001397,87.81089800002519,87.83219390001614,88.38686349999625,,,,,,,,88.38693570002215,88.39964509999845,88.88707029999932,,87.83219390001614,88.89966290001757,,,,,,,,left,1,0.5472959000035189,None,,,,pilot,001,2026-04-15_20h30.58.191,midterm_project,,2026.1.1,60.16503268756271,2026-04-15 20h30.58.807999 +0800,
4,1,feature,right,33,33,0,right,1,0.5879692999878898,None,,,,,0,33,33,12,88.89966290001757,,,,,,,,,,,,,,,,,88.88728129997617,88.89966290001757,89.38671709998744,89.39586180000333,89.41539229999762,90.01940599997761,,,,,,,,90.0194707000046,90.03389140003128,90.52021440002136,,89.41539229999762,,,,,,,,,right,1,0.5879692999878898,None,,,,pilot,001,2026-04-15_20h30.58.191,midterm_project,,2026.1.1,60.16503268756271,2026-04-15 20h30.58.807999 +0800,
12,1,feature,right,34,34,0,right,1,0.8378427000134252,None,,,,,0,34,34,25,90.53280859999359,,,,,,,,,,,,,,,,,90.52042070002062,90.53280859999359,91.01983230002224,91.04027519997908,91.06546610000078,91.91935989999911,,,,,,,,91.91942029999336,91.93239460000768,92.41969569999492,,,,,,,,,,,right,1,0.8378427000134252,None,,,,pilot,001,2026-04-15_20h30.58.191,midterm_project,,2026.1.1,60.16503268756271,2026-04-15 20h30.58.807999 +0800,
4,0,feature,left,35,35,0,left,1,0.631384199950844,None,,,,,0,35,35,27,92.43258379999315,,,,,,,,,,,,,,,,,92.41991519997828,92.43258379999315,92.91907539998647,92.92650120001053,92.94827210000949,93.58823380002286,,,,,,,,93.58830569998827,93.59903699997813,94.09004640002968,,92.94827210000949,,,,,,,,,left,1,0.631384199950844,None,,,,pilot,001,2026-04-15_20h30.58.191,midterm_project,,2026.1.1,60.16503268756271,2026-04-15 20h30.58.807999 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.09020969999256,94.13122460001614,97.10350919998018,pilot,001,2026-04-15_20h30.58.191,midterm_project,,2026.1.1,60.16503268756271,2026-04-15 20h30.58.807999 +0800,
